var1,var2,rho,p,sig,n
energia,contentezza,0.522,0.0,***,182
energia,controllo,0.366,0.0,***,182
energia,vuoto_affollato,0.035,0.6343,,182
energia,silenzioso_rumoroso,0.038,0.6148,,182
energia,pulito_sporco,-0.076,0.3075,,182
energia,persone_simili,0.121,0.1039,,182
energia,sicurezza,0.037,0.6167,,182
energia,appartenenza,0.123,0.097,,182
energia,interazione,0.118,0.1138,,182
energia,velocita_percepita,0.226,0.0022,**,182
energia,frequenza,0.014,0.849,,182
energia,eta,0.113,0.128,,182
contentezza,controllo,0.543,0.0,***,182
contentezza,vuoto_affollato,0.073,0.3256,,182
contentezza,silenzioso_rumoroso,-0.025,0.7342,,182
contentezza,pulito_sporco,-0.092,0.2171,,182
contentezza,persone_simili,0.078,0.2972,,182
contentezza,sicurezza,0.229,0.0019,**,182
contentezza,appartenenza,0.303,0.0,***,182
contentezza,interazione,0.087,0.2438,,182
contentezza,velocita_percepita,0.248,0.0008,***,182
contentezza,frequenza,-0.03,0.6845,,182
contentezza,eta,0.155,0.0371,*,182
controllo,vuoto_affollato,0.067,0.3676,,182
controllo,silenzioso_rumoroso,-0.027,0.7135,,182
controllo,pulito_sporco,-0.07,0.3501,,182
controllo,persone_simili,0.152,0.0399,*,182
controllo,sicurezza,0.202,0.0063,**,182
controllo,appartenenza,0.174,0.0187,*,182
controllo,interazione,0.088,0.236,,182
controllo,velocita_percepita,0.18,0.0149,*,182
controllo,frequenza,-0.222,0.0026,**,182
controllo,eta,0.077,0.3021,,182
vuoto_affollato,silenzioso_rumoroso,0.298,0.0,***,182
vuoto_affollato,pulito_sporco,0.008,0.9164,,182
vuoto_affollato,persone_simili,0.141,0.0581,,182
vuoto_affollato,sicurezza,0.052,0.4879,,182
vuoto_affollato,appartenenza,0.077,0.3042,,182
vuoto_affollato,interazione,0.059,0.4255,,182
vuoto_affollato,velocita_percepita,0.035,0.6352,,182
vuoto_affollato,frequenza,0.146,0.0491,*,182
vuoto_affollato,eta,0.082,0.27,,182
silenzioso_rumoroso,pulito_sporco,0.111,0.1367,,182
silenzioso_rumoroso,persone_simili,0.033,0.6589,,182
silenzioso_rumoroso,sicurezza,-0.08,0.2856,,182
silenzioso_rumoroso,appartenenza,0.104,0.1617,,182
silenzioso_rumoroso,interazione,0.073,0.3296,,182
silenzioso_rumoroso,velocita_percepita,0.065,0.3837,,182
silenzioso_rumoroso,frequenza,0.253,0.0006,***,182
silenzioso_rumoroso,eta,0.086,0.2504,,182
pulito_sporco,persone_simili,-0.174,0.0191,*,182
pulito_sporco,sicurezza,-0.056,0.4541,,182
pulito_sporco,appartenenza,-0.13,0.0791,,182
pulito_sporco,interazione,-0.164,0.0269,*,182
pulito_sporco,velocita_percepita,-0.106,0.1557,,182
pulito_sporco,frequenza,0.023,0.7534,,182
pulito_sporco,eta,-0.086,0.2486,,182
persone_simili,sicurezza,0.341,0.0,***,182
persone_simili,appartenenza,0.347,0.0,***,182
persone_simili,interazione,0.293,0.0001,***,182
persone_simili,velocita_percepita,0.195,0.0084,**,182
persone_simili,frequenza,0.051,0.498,,182
persone_simili,eta,0.038,0.6146,,182
sicurezza,appartenenza,0.457,0.0,***,182
sicurezza,interazione,0.347,0.0,***,182
sicurezza,velocita_percepita,0.257,0.0005,***,182
sicurezza,frequenza,-0.057,0.4429,,182
sicurezza,eta,0.068,0.3605,,182
appartenenza,interazione,0.494,0.0,***,182
appartenenza,velocita_percepita,0.24,0.0011,**,182
appartenenza,frequenza,0.042,0.5776,,182
appartenenza,eta,0.161,0.0304,*,182
interazione,velocita_percepita,0.147,0.047,*,182
interazione,frequenza,-0.05,0.5034,,182
interazione,eta,0.065,0.3806,,182
velocita_percepita,frequenza,-0.026,0.7231,,182
velocita_percepita,eta,0.116,0.1188,,182
frequenza,eta,-0.053,0.4809,,182
